id,llm_correct,assessor_correct
5387,1,0.49
4404,1,0.0
9787,1,0.26
9496,1,0.23
9810,1,0.25
8097,1,0.13
25,1,0.41
8846,1,0.19
8533,1,0.48
9699,1,0.37
6203,1,0.32
8738,1,0.12
10392,1,0.41
8521,1,0.08
7690,0,0.06
6283,1,0.24
8104,1,0.2
1215,1,0.06
6047,1,0.4
7989,1,0.25
1140,1,0.39
7360,1,0.29
8449,1,0.37
10529,1,0.41
5414,1,0.18
714,1,0.0
11812,0,0.43
2135,1,0.0
948,1,0.24
5023,1,0.37
805,1,0.28
7977,0,0.44
2206,1,0.0
3402,1,0.28
2284,0,0.53
11717,1,0.2
4025,1,0.24
8023,1,0.25
6874,0,0.14
10147,1,0.34
6394,1,0.11
1421,0,0.57
612,1,0.29
6713,1,0.24
9061,1,0.44
2840,0,0.19
2317,1,0.59
1350,1,0.29
8981,0,0.32
4599,1,0.28
221,0,0.11
5442,1,0.18
10068,1,0.18
5397,0,0.44
9675,1,0.45
3880,1,0.24
1965,1,0.37
7020,1,0.34
8524,1,0.31
890,0,0.5
11862,0,0.14
446,1,0.07
379,1,0.38
9016,0,0.22
7936,1,0.75
4880,1,0.42
724,1,0.0
6196,1,0.26
3585,1,0.25
11414,0,0.33
5610,1,0.32
10554,1,0.64
2155,0,0.1
224,1,0.37
10770,1,0.05
3185,0,0.35
171,1,0.0
7618,1,0.2
126,0,0.21
4473,1,0.36
6037,0,0.61
8462,1,0.42
1266,1,0.33
10060,1,0.45
8382,1,0.05
6374,1,0.37
10019,1,0.73
8609,1,0.21
6583,1,0.24
10264,1,0.64
5036,1,0.31
11738,0,0.14
5768,1,0.37
746,1,0.59
5948,0,0.83
7362,1,0.26
8187,0,0.64
2781,1,0.33
2443,1,0.39
3748,1,0.2
6246,1,0.3
7905,0,0.25
6433,0,0.14
4230,0,0.37
4310,1,0.32
2891,1,0.12
11970,1,0.29
5592,1,0.15
450,1,0.33
2382,1,0.3
1577,1,0.19
7273,1,0.0
2871,1,0.41
8207,1,0.19
2634,1,0.22
11032,1,0.22
10588,0,0.25
6858,1,0.3
7255,0,0.28
10426,1,0.5
9601,1,0.26
7428,1,0.25
4617,1,0.53
5712,1,0.37
9337,1,0.16
4799,1,0.51
11336,0,0.44
10291,1,0.47
9089,1,0.39
8244,0,0.26
4235,1,0.27
11852,1,0.52
7121,1,0.42
6514,0,0.7
54,1,0.15
9195,0,0.21
367,0,0.29
9948,1,0.15
5517,1,0.43
1377,1,0.21
3440,1,0.36
4630,0,0.44
5666,1,0.38
4106,1,0.41
5536,1,0.58
11542,0,0.24
166,1,0.14
8456,1,0.2
8615,1,0.11
4889,1,0.48
10464,1,0.39
1192,1,0.21
9112,1,0.27
1132,0,0.16
4907,0,0.49
5598,1,0.22
2404,1,0.55
5380,1,0.44
9964,1,0.11
740,1,0.12
4285,0,0.2
3959,1,0.23
1116,0,0.16
8683,1,0.0
1710,0,0.13
1732,0,0.53
6113,0,0.26
7733,1,0.0
8819,1,0.24
6948,0,0.02
8784,1,0.48
11621,1,0.53
11660,1,0.16
11495,1,0.17
4731,1,0.44
5733,0,0.16
5294,0,0.07
8549,1,0.19
3178,0,0.2
11859,1,0.32
9691,0,0.27
1892,1,0.43
2338,0,0.44
10342,1,0.4
2107,0,0.75
1012,1,0.45
5317,0,0.03
11593,0,0.32
698,1,0.29
7163,1,0.0
7693,1,0.26
3114,1,0.31
260,1,0.09
11236,1,0.26
2751,0,0.06
10062,1,0.29
12001,1,0.09
8294,1,0.46
1281,0,0.29
10778,0,0.16
8494,1,0.14
1978,1,0.45
1758,0,0.12
10200,1,0.62
515,1,0.28
4631,1,0.41
8251,1,0.88
10688,1,0.56
10249,1,0.57
11583,0,0.45
262,1,0.09
8306,1,0.27
10803,0,0.09
3087,1,0.5
3921,1,0.28
7576,1,0.24
5371,0,0.31
1922,1,0.31
11664,1,0.23
7159,1,0.3
5633,1,0.36
10840,0,0.09
9327,1,0.46
6648,0,0.26
8224,1,0.27
9082,1,0.39
4103,0,0.11
7227,1,0.42
8877,0,0.54
1656,1,0.47
4376,1,0.45
6325,1,0.12
8969,0,0.05
6809,1,0.33
2442,1,0.0
1162,0,0.49
5220,1,0.38
3512,1,0.39
1129,1,0.36
2910,1,0.43
2390,1,0.43
7256,1,0.47
1800,1,0.35
2541,1,0.42
5281,1,0.56
6365,1,0.35
9624,1,0.34
1160,0,0.46
875,1,0.48
6108,1,0.38
9924,1,0.26
11550,0,0.26
2485,1,0.4
10620,1,0.27
7146,1,0.26
6071,1,0.3
3116,1,0.3
1840,1,0.0
3922,1,0.0
8914,1,0.22
4741,1,0.17
2006,1,0.24
2316,1,0.54
9113,1,0.21
11783,1,0.32
7874,1,0.35
4261,1,0.35
7423,1,0.0
10303,1,0.26
3733,1,0.55
7966,1,0.37
1227,0,0.13
6590,1,0.29
2393,1,0.0
6046,1,0.65
7123,1,0.18
3747,1,0.41
8826,1,0.18
2270,1,0.2
6125,1,0.67
10972,1,0.11
7304,1,0.44
8587,1,0.28
4881,1,0.46
6384,1,0.17
1087,1,0.0
4372,1,0.3
6119,1,0.36
2063,1,0.31
3612,1,0.23
2511,1,0.19
7595,1,0.08
10427,1,0.45
10578,1,0.16
5290,0,0.19
577,1,0.01
11679,0,0.12
10333,1,0.2
3730,0,0.35
5314,0,0.03
3425,1,0.11
9927,1,0.52
2289,0,0.1
7895,1,0.29
1465,0,0.61
2640,1,0.0
10954,1,0.67
9266,1,0.27
2965,1,0.34
3538,1,0.15
3735,1,0.08
7337,1,0.33
9857,0,0.06
3794,1,0.44
7401,1,0.65
5771,1,0.46
9427,1,0.44
8724,1,0.11
3265,1,0.36
10754,1,0.1
3656,1,0.09
4102,1,0.35
4457,1,0.08
2315,0,0.4
11172,1,0.13
9952,1,0.35
7133,0,0.3
9084,0,0.37
4841,0,1.0
11719,0,0.55
8171,1,0.37
541,1,0.23
5198,1,0.35
3359,1,0.0
5035,1,0.4
6373,1,0.38
5099,1,0.19
2261,1,0.43
10713,0,0.15
11425,1,0.14
10842,1,0.43
3691,0,0.31
2343,0,0.25
9174,0,0.13
723,1,0.38
6484,1,0.54
4953,1,0.41
6368,1,0.2
6122,1,0.36
350,1,0.21
3801,1,0.0
5073,1,0.76
3125,1,0.0
7410,1,0.0
9471,1,0.26
8118,1,0.37
1601,1,0.17
11154,1,0.44
9878,0,0.29
11201,0,0.31
86,1,0.37
9136,1,0.43
6635,1,0.1
7639,1,0.39
9494,0,0.19
2502,1,0.57
11820,1,0.23
1938,1,0.53
4554,1,0.0
2021,1,0.64
1929,1,0.6
4909,1,0.52
3314,0,0.01
3639,0,0.33
10982,1,0.49
11632,0,0.35
6079,1,0.0
1588,0,1.0
456,1,0.14
788,1,0.36
2973,1,0.0
7282,1,0.12
816,1,0.15
6863,1,0.16
8380,0,0.32
539,1,0.25
9305,1,0.23
2181,1,0.35
1323,1,0.21
3746,1,0.4
8300,1,0.23
11279,1,0.2
806,1,0.41
11483,0,1.0
5684,0,0.18
10091,0,0.32
10221,1,0.44
7432,1,0.25
2286,1,0.18
1078,0,0.42
6512,1,0.11
8075,1,0.18
770,1,0.06
5359,1,0.29
2154,1,0.0
7032,1,0.51
8974,1,0.27
11129,1,0.43
9688,1,0.25
2363,1,0.35
5829,1,0.27
10275,1,0.52
3991,1,0.0
6658,0,0.68
8955,1,0.59
11924,1,0.43
11383,0,0.33
7960,1,0.38
8058,1,0.27
1554,0,0.39
4064,1,0.65
5305,1,0.2
9031,0,0.12
8538,1,0.52
884,0,0.58
123,1,0.17
5439,1,0.32
6244,0,0.03
6672,0,0.36
10059,1,0.39
7824,1,0.6
4718,1,0.21
9006,1,0.0
2406,0,0.23
5507,0,0.36
9560,1,0.29
5879,1,0.18
8881,1,0.0
861,0,0.52
2123,1,0.31
10594,1,0.59
2130,1,0.21
11823,0,0.07
11358,1,0.31
295,1,0.18
3049,1,0.19
11046,1,0.28
11053,1,0.33
9789,1,0.3
2327,1,0.0
6594,1,0.06
498,1,0.37
1288,1,0.32
8064,1,0.32
3177,1,0.2
5249,0,0.06
6500,1,0.09
6058,1,0.47
5961,1,0.35
6366,1,0.29
483,1,0.09
6509,0,0.74
6556,1,0.34
2004,1,0.45
12006,0,0.53
7278,1,0.21
2552,0,0.42
319,0,0.9
8342,1,0.15
10486,1,0.84
10781,1,0.35
2414,1,0.44
5096,1,0.29
4023,1,0.0
8611,1,0.25
6135,0,0.17
4681,0,0.3
11352,0,0.02
4156,1,0.36
5570,1,0.2
5691,1,0.4
11552,1,0.11
7420,1,0.42
1766,1,0.3
3855,0,1.0
11794,1,0.06
2904,1,0.68
11766,1,0.4
9484,1,0.32
9196,1,0.35
8815,1,0.18
6361,1,0.26
4537,0,0.05
4243,1,0.3
11338,1,0.29
9771,0,0.23
10057,0,0.27
1915,1,0.5
8372,1,0.25
7809,1,0.35
11577,1,0.46
11646,0,0.31
8195,1,0.1
3687,1,0.63
5032,1,0.47
6990,1,0.28
899,1,0.49
10327,0,0.07
7141,1,0.35
7741,1,0.2
12005,1,0.37
5191,1,0.25
552,1,0.51
9745,1,0.27
7782,0,0.21
11217,0,0.13
8790,1,0.4
2132,1,0.56
8282,1,0.4
4055,0,0.1
9661,1,0.14
2750,1,0.39
4436,0,0.22
4388,1,0.22
6215,1,0.21
11988,1,0.0
11911,1,0.05
8209,1,0.33
2892,1,0.33
4502,1,0.2
4519,1,0.45
8642,1,0.19
5468,1,0.56
6840,1,0.34
11973,1,0.26
1920,1,0.44
3321,1,0.29
9285,0,0.08
6875,1,0.76
4132,0,0.26
7812,0,0.15
2380,1,0.35
7866,1,0.35
1716,1,0.54
8324,1,0.17
3357,1,0.0
9446,1,0.56
11792,0,0.02
7669,1,0.28
9644,0,0.35
792,1,0.86
9850,1,0.47
10599,1,0.27
10456,1,0.5
7976,1,0.34
7574,1,0.16
1105,1,0.25
4796,0,0.12
5569,1,0.29
6457,1,0.61
3319,0,0.32
5880,1,0.14
10723,0,0.17
9102,0,0.08
9932,1,0.1
5529,1,0.25
6728,1,0.48
2651,1,0.29
5563,0,0.66
7094,0,0.16
3847,0,0.38
397,1,0.22
6420,1,0.35
6936,1,0.61
9628,1,0.52
9629,1,0.12
6579,1,0.25
10902,1,0.09
3390,1,0.0
7698,0,0.3
3969,1,0.35
3498,1,0.0
11786,1,0.32
4992,1,0.0
1509,1,0.39
9637,1,0.43
8088,1,0.39
3216,1,0.23
3333,0,0.21
10705,1,0.42
6277,1,0.04
2459,1,0.38
5674,1,0.57
10377,1,0.57
6798,1,0.41
9992,1,0.45
8536,1,0.07
3317,1,0.16
4855,0,0.23
9330,1,0.48
5683,1,0.37
3271,1,0.55
9021,1,0.37
11643,0,0.14
1492,0,0.61
6653,1,0.35
7554,1,0.15
3930,0,0.18
9755,1,0.13
11896,0,0.72
4136,0,0.12
5381,0,0.22
6138,1,0.2
2084,1,0.0
7418,1,0.28
3024,1,0.0
5203,1,0.46
11280,1,0.45
7169,0,0.68
2143,0,0.54
11648,1,0.4
296,1,0.4
6302,0,0.21
5316,1,0.27
3155,1,0.48
9841,1,0.11
4955,1,0.27
8204,1,0.56
7793,1,0.39
4188,1,0.2
7652,1,0.39
10010,0,0.17
10534,1,0.06
120,1,0.24
6565,1,0.39
6947,1,0.39
5893,1,0.5
4424,1,0.37
3800,1,0.27
6529,1,0.53
6812,1,0.23
5513,1,0.37
7126,0,0.07
8111,1,0.3
11096,1,0.14
4981,1,0.51
1161,1,0.11
229,1,0.3
2682,1,0.49
1866,1,0.13
10215,1,0.8
5910,1,0.55
9447,1,0.23
3138,1,0.0
1450,0,0.48
8927,1,0.38
248,0,0.42
9825,1,0.41
4297,0,0.31
7970,1,0.32
11958,0,1.0
504,1,0.5
11264,1,0.27
5807,1,0.42
4824,0,0.04
7632,1,0.2
2899,1,0.15
4216,1,0.26
10069,0,0.15
8949,0,0.26
3019,1,0.19
10381,1,0.63
4452,0,0.53
10078,1,0.24
9968,1,0.39
11872,1,0.22
4728,1,0.35
6208,1,0.0
11635,1,0.18
2458,1,0.33
5172,1,0.29
7751,1,0.23
9144,1,0.28
4382,1,0.33
7804,1,0.28
3454,1,0.1
222,0,0.87
1394,1,0.33
8219,1,0.11
591,1,0.31
5574,0,0.26
3949,1,0.16
6312,1,0.38
10048,1,0.24
1190,1,0.37
3201,1,0.37
11737,1,0.36
7912,1,0.15
7394,1,0.47
9564,1,0.49
1276,1,0.44
7615,1,0.56
2340,1,0.4
11696,1,0.0
3875,1,0.0
5788,1,0.4
8782,1,0.06
8263,1,0.1
324,1,0.08
